Player,Rounds,Rating,ACS,K/D,ADR,KPR,DPR,APR,FBPR,FDPR,HS%,FBSR
 SEIDER,4719,1.10,212.0,1.12,132.3,0.76,0.68,0.28,0.10,0.09,30%,53%
 Derrek,5408,1.10,211.0,1.18,139.6,0.73,0.61,0.36,0.07,0.05,25%,62%
 Mickebwoy,3317,1.10,210.6,1.13,134.5,0.74,0.65,0.33,0.07,0.06,24%,54%
 runi,4208,1.10,209.9,1.15,144.5,0.72,0.63,0.39,0.07,0.06,24%,55%
 Adverso,3787,1.10,208.6,1.18,132.8,0.73,0.62,0.34,0.10,0.09,22%,52%
 Genghsta,7616,1.10,207.2,1.19,141.9,0.72,0.61,0.35,0.07,0.04,26%,65%
 faceroll,307,1.10,203.3,1.04,123.6,0.72,0.69,0.36,0.10,0.09,20%,53%
 H1yaA,1405,1.10,200.8,1.11,128.6,0.69,0.62,0.36,0.07,0.06,16%,52%
 Zenakukin,1299,1.09,233.6,1.13,149.4,0.79,0.70,0.26,0.14,0.11,23%,55%
 MAGNUM,4255,1.09,230.0,1.13,144.2,0.79,0.70,0.25,0.13,0.11,25%,53%
 Wait,1571,1.09,229.4,1.07,145.9,0.76,0.71,0.40,0.08,0.08,17%,50%
 BRNWOWZK1,2068,1.09,227.7,1.16,142.6,0.78,0.67,0.24,0.14,0.09,17%,60%
 Touven,2987,1.09,225.7,1.03,150.3,0.76,0.74,0.31,0.11,0.11,23%,50%
 Subroza,6220,1.09,225.4,1.10,141.6,0.78,0.70,0.25,0.13,0.10,27%,58%
 blitzeN,3219,1.09,223.2,1.16,139.5,0.80,0.69,0.18,0.15,0.12,32%,56%
 Apex,3971,1.09,223.0,1.07,145.3,0.80,0.74,0.22,0.11,0.11,36%,50%
 Flossie,462,1.09,220.5,1.10,146.9,0.77,0.70,0.28,0.08,0.08,23%,50%
 kon4n,3391,1.09,220.0,1.13,143.5,0.76,0.67,0.29,0.10,0.09,24%,51%
 xlkurama,602,1.09,219.9,1.09,143.9,0.74,0.68,0.22,0.09,0.10,23%,48%
 hype,5041,1.09,215.9,1.15,141.8,0.75,0.65,0.25,0.09,0.08,23%,52%
 BcJ,5170,1.09,215.3,1.13,143.0,0.73,0.65,0.36,0.09,0.08,18%,54%
 luckeRRR,6591,1.09,214.9,1.12,133.4,0.76,0.67,0.22,0.14,0.07,24%,65%
 truo,4131,1.09,214.2,1.19,137.6,0.77,0.65,0.25,0.11,0.08,31%,58%
 clz,2126,1.09,210.3,1.16,132.8,0.74,0.64,0.30,0.10,0.09,23%,53%
 luqz,4110,1.09,209.4,1.12,142.5,0.72,0.64,0.37,0.06,0.05,30%,53%
 Zander,6636,1.09,208.3,1.15,132.5,0.74,0.64,0.30,0.09,0.08,23%,53%
 supamen,4290,1.09,206.2,1.12,129.8,0.74,0.66,0.29,0.08,0.07,30%,52%
 Cender,4664,1.09,205.0,1.14,132.5,0.74,0.65,0.33,0.09,0.08,28%,54%
 Gucc107,7375,1.09,203.2,1.11,130.4,0.73,0.66,0.34,0.07,0.06,24%,54%
 DeNaro,2858,1.09,203.0,1.10,134.9,0.69,0.63,0.38,0.06,0.05,21%,52%
 Destrian,4159,1.09,198.9,1.16,132.0,0.71,0.61,0.37,0.09,0.06,24%,58%
 Dualing,704,1.08,226.8,1.06,143.7,0.78,0.74,0.24,0.17,0.17,24%,50%
 Kehmicals,3865,1.08,225.8,1.17,140.1,0.79,0.67,0.21,0.15,0.12,19%,56%
 TISORA,5494,1.08,225.0,1.14,139.6,0.80,0.70,0.20,0.15,0.14,18%,52%
 Enjoy,5778,1.08,223.1,1.14,144.2,0.78,0.69,0.20,0.12,0.10,20%,56%
 Galaxy,836,1.08,223.1,1.13,142.6,0.78,0.69,0.27,0.09,0.08,25%,53%
 Violence-,2486,1.08,222.9,1.09,135.7,0.78,0.72,0.21,0.15,0.14,18%,51%
 kobra,1739,1.08,220.3,1.09,135.2,0.77,0.70,0.20,0.14,0.11,28%,57%
 Jamppi,2774,1.08,220.0,1.21,134.2,0.79,0.66,0.20,0.18,0.14,23%,55%
 BladeZ,1447,1.08,219.9,1.15,139.8,0.77,0.67,0.24,0.13,0.12,26%,52%
 Dark3st,5188,1.08,219.8,1.07,143.9,0.76,0.71,0.31,0.13,0.12,25%,51%
 Kr1stal,1027,1.08,219.3,1.17,137.2,0.78,0.67,0.22,0.14,0.12,23%,54%
 gtn,2584,1.08,219.3,1.12,139.3,0.75,0.68,0.27,0.11,0.10,18%,52%
 ten,2165,1.08,218.3,1.08,140.4,0.75,0.69,0.30,0.12,0.11,22%,51%
 gMd,6590,1.08,218.1,1.16,138.6,0.78,0.67,0.28,0.09,0.07,26%,54%
 Marved,4499,1.08,216.0,1.09,136.0,0.76,0.70,0.24,0.11,0.10,30%,52%
 C0M,5367,1.08,215.3,1.19,139.8,0.75,0.63,0.27,0.10,0.08,23%,55%
 xms,2000,1.08,214.3,1.17,137.7,0.77,0.66,0.24,0.09,0.08,29%,53%
 xnfri ,1127,1.08,213.9,1.10,141.3,0.73,0.67,0.27,0.13,0.11,24%,54%
 Paincakes,7385,1.08,212.6,1.15,133.6,0.76,0.66,0.29,0.09,0.08,25%,53%
 stanley,3886,1.08,210.8,1.12,134.5,0.76,0.68,0.26,0.09,0.08,27%,52%
 PeruvianMonsta,608,1.08,209.5,1.05,152.2,0.72,0.68,0.28,0.09,0.09,21%,50%
 Melser,3688,1.08,205.4,1.20,131.7,0.73,0.61,0.31,0.09,0.06,24%,58%
 RgLM,2212,1.08,205.1,1.21,133.6,0.76,0.63,0.25,0.06,0.04,20%,58%
 LiNLiN,785,1.08,204.7,1.04,136.8,0.71,0.68,0.40,0.09,0.11,25%,46%
 xeta,4270,1.08,204.4,1.16,131.9,0.71,0.61,0.36,0.07,0.06,22%,53%
 Rossy,5491,1.08,203.1,1.06,132.5,0.72,0.67,0.35,0.08,0.08,24%,52%
 RHZ,1121,1.08,202.2,1.08,128.2,0.74,0.68,0.30,0.06,0.09,22%,42%
 PureR,4671,1.07,231.0,1.13,140.4,0.82,0.72,0.19,0.16,0.13,22%,55%
 Ssun,577,1.07,229.9,1.01,148.3,0.79,0.79,0.19,0.16,0.11,21%,60%
 qck,2879,1.07,226.5,1.12,137.8,0.79,0.70,0.25,0.15,0.12,22%,55%
 epathy,3272,1.07,225.2,1.12,140.2,0.80,0.72,0.15,0.17,0.13,27%,56%
 Bramz,5117,1.07,224.6,1.17,138.9,0.80,0.68,0.18,0.13,0.10,25%,57%
 aimDLL,3658,1.07,222.6,1.24,145.9,0.79,0.63,0.24,0.09,0.07,28%,57%
 rodeN,4642,1.07,222.3,1.11,139.3,0.76,0.68,0.26,0.12,0.10,22%,55%
 neth,2889,1.07,221.5,1.23,137.0,0.79,0.64,0.22,0.11,0.07,20%,60%
 francez,621,1.07,220.6,0.99,139.2,0.73,0.74,0.32,0.10,0.10,24%,51%
 ShahZaM,6459,1.07,220.4,1.20,136.2,0.78,0.65,0.24,0.11,0.07,23%,61%
 Trick,5040,1.07,219.3,1.01,143.2,0.73,0.73,0.33,0.12,0.11,16%,51%
 diewijAs,1647,1.07,218.6,1.14,139.0,0.74,0.65,0.27,0.09,0.08,16%,54%
 RieNs,2791,1.07,217.5,1.04,137.2,0.76,0.73,0.27,0.16,0.12,27%,56%
 Dreamas,4980,1.07,217.4,1.21,143.6,0.77,0.63,0.22,0.11,0.08,20%,57%
 prince,1808,1.07,216.9,1.12,140.5,0.76,0.67,0.28,0.11,0.11,22%,52%
 Mizu,3792,1.07,215.7,1.11,134.2,0.77,0.69,0.18,0.15,0.13,34%,53%
 vaiZ,2348,1.07,215.6,1.15,133.4,0.75,0.65,0.26,0.10,0.08,20%,57%
 PryZee,2429,1.07,214.5,1.11,137.5,0.76,0.68,0.23,0.11,0.09,19%,55%
 Closer,2688,1.07,213.4,1.18,133.4,0.74,0.63,0.26,0.11,0.08,21%,57%
 soulcas,5234,1.07,212.7,1.13,135.8,0.73,0.65,0.29,0.10,0.08,28%,56%
 braveaf,3126,1.07,212.2,1.06,135.6,0.72,0.68,0.32,0.09,0.09,26%,52%
 neptune,5319,1.07,211.1,1.07,134.2,0.74,0.69,0.27,0.11,0.10,24%,51%
